filepath,size,path,ref_date,geo_code,geo_level,file_type,format,projection,language
ghy_000c16a_f,187.87M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/HYDRO/ghy_000c16a_f.zip,2016,hy_,NA,interior lakes and rivers hydrographic reference file (polygon),ArcGIS (.shp),lat/long,french
ghy_000d16a_e, 59.78M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/HYDRO/ghy_000d16a_e.zip,2016,hy_,NA,interior rivers hydrographic reference file (line),ArcGIS (.shp),lat/long,english
ghy_000d16a_f, 59.8M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/HYDRO/ghy_000d16a_f.zip,2016,hy_,NA,interior rivers hydrographic reference file (line),ArcGIS (.shp),lat/long,french
ghy_000h16a_e, 55.35M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/HYDRO/ghy_000h16a_e.zip,2016,hy_,NA,"hydrographic coverage of Great Lakes, St. Lawrence River and surrounding oceans",ArcGIS (.shp),lat/long,english
ghy_000h16a_f, 55.37M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/HYDRO/ghy_000h16a_f.zip,2016,hy_,NA,"hydrographic coverage of Great Lakes, St. Lawrence River and surrounding oceans",ArcGIS (.shp),lat/long,french
gcp_000b16a_f,  5.15M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/PC-CP/gcp_000b16a_f.zip,2016,cp_,population centre,cartographic boundary file,ArcGIS (.shp),lat/long,french
gpc_000b16a_e,  5.13M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/PC-CP/gpc_000b16a_e.zip,2016,pc_,population centre,cartographic boundary file,ArcGIS (.shp),lat/long,english
gpr_000b16a_e, 38.34M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/PR-PR/gpr_000b16a_e.zip,2016,pr_,province and territory,cartographic boundary file,ArcGIS (.shp),lat/long,english
gpr_000b16a_f, 38.36M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/PR-PR/gpr_000b16a_f.zip,2016,pr_,province and territory,cartographic boundary file,ArcGIS (.shp),lat/long,french
gfsa000b16a_e, 56.55M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/FSA-RTA/gfsa000b16a_e.zip,2016,fsa,census forward sortation area,cartographic boundary file,ArcGIS (.shp),lat/long,english
grta000b16a_f, 56.57M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/CBF/FSA-RTA/grta000b16a_f.zip,2016,rta,census forward sortation area,cartographic boundary file,ArcGIS (.shp),lat/long,french
gada000a16a_e, 23.04M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/ADA-ADA/gada000a16a_e.zip,2016,ada,aggregate dissemination area,digital boundary file,ArcGIS (.shp),lat/long,english
gada000a16a_f, 23.06M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/ADA-ADA/gada000a16a_f.zip,2016,ada,aggregate dissemination area,digital boundary file,ArcGIS (.shp),lat/long,french
gcar000a16a_e,  4.86M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/CAR-RAR/gcar000a16a_e.zip,2016,car,census agricultural region,digital boundary file,ArcGIS (.shp),lat/long,english
grar000a16a_f,  4.89M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/CAR-RAR/grar000a16a_f.zip,2016,rar,census agricultural region,digital boundary file,ArcGIS (.shp),lat/long,french
gccs000a16a_e, 21.08M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/CCS-SRU/gccs000a16a_e.zip,2016,ccs,census consolidated subdivision,digital boundary file,ArcGIS (.shp),lat/long,english
gsru000a16a_f, 21.1M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/CCS-SRU/gsru000a16a_f.zip,2016,sru,census consolidated subdivision,digital boundary file,ArcGIS (.shp),lat/long,french
gcd_000a16a_e,  7.51M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/CD-DR/gcd_000a16a_e.zip,2016,cd_,census division,digital boundary file,ArcGIS (.shp),lat/long,english
gdr_000a16a_f,  7.54M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/CD-DR/gdr_000a16a_f.zip,2016,dr_,census division,digital boundary file,ArcGIS (.shp),lat/long,french
gcma000a16a_e,  2.08M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/CMA-RMR/gcma000a16a_e.zip,2016,cma,census metropolitan area and census agglomeration,digital boundary file,ArcGIS (.shp),lat/long,english
grmr000a16a_f,  2.11M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/CMA-RMR/grmr000a16a_f.zip,2016,rmr,census metropolitan area and census agglomeration,digital boundary file,ArcGIS (.shp),lat/long,french
gcsd000a16a_e, 31.15M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/CSD-SDR/gcsd000a16a_e.zip,2016,csd,census subdivision,digital boundary file,ArcGIS (.shp),lat/long,english
gsdr000a16a_f, 31.17M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/CSD-SDR/gsdr000a16a_f.zip,2016,sdr,census subdivision,digital boundary file,ArcGIS (.shp),lat/long,french
gct_000a16a_e,  9.48M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/CT-SR/gct_000a16a_e.zip,2016,ct_,census tract,digital boundary file,ArcGIS (.shp),lat/long,english
gsr_000a16a_f,  9.51M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/CT-SR/gsr_000a16a_f.zip,2016,sr_,census tract,digital boundary file,ArcGIS (.shp),lat/long,french
gad_000a16a_f, 90.4M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/DA-AD/gad_000a16a_f.zip,2016,ad_,dissemination area,digital boundary file,ArcGIS (.shp),lat/long,french
gda_000a16a_e, 90.37M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/DA-AD/gda_000a16a_e.zip,2016,da_,dissemination area,digital boundary file,ArcGIS (.shp),lat/long,english
gdb_000a16a_e,283.53M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/DB-ID/gdb_000a16a_e.zip,2016,db_,dissemination block,digital boundary file,ArcGIS (.shp),lat/long,english
gid_000a16a_f,283.56M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/DB-ID/gid_000a16a_f.zip,2016,id_,NA,digital boundary file,ArcGIS (.shp),lat/long,french
gdpl000a16a_e,  2.51M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/DPL-LD/gdpl000a16a_e.zip,2016,dpl,designated place,digital boundary file,ArcGIS (.shp),lat/long,english
gld_000a16a_f,  2.53M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/DPL-LD/gld_000a16a_f.zip,2016,ld_,designated place,digital boundary file,ArcGIS (.shp),lat/long,french
ger_000a16a_e,  4.6M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/ER-RE/ger_000a16a_e.zip,2016,er_,economic region,digital boundary file,ArcGIS (.shp),lat/long,english
gre_000a16a_f,  4.62M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/ER-RE/gre_000a16a_f.zip,2016,re_,economic region,digital boundary file,ArcGIS (.shp),lat/long,french
gcef000a16a_f,  7.53M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/FED-CEF/gcef000a16a_f.zip,2016,cef,federal electoral district,digital boundary file,ArcGIS (.shp),lat/long,french
gfed000a16a_e,  7.5M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/FED-CEF/gfed000a16a_e.zip,2016,fed,federal electoral district,digital boundary file,ArcGIS (.shp),lat/long,english
gcp_000a16a_f,  4.48M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/PC-CP/gcp_000a16a_f.zip,2016,cp_,population centre,digital boundary file,ArcGIS (.shp),lat/long,french
gpc_000a16a_e,  4.46M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/PC-CP/gpc_000a16a_e.zip,2016,pc_,population centre,digital boundary file,ArcGIS (.shp),lat/long,english
gpr_000a16a_e,  1.65M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/PR-PR/gpr_000a16a_e.zip,2016,pr_,province and territory,digital boundary file,ArcGIS (.shp),lat/long,english
gpr_000a16a_f,  1.67M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/PR-PR/gpr_000a16a_f.zip,2016,pr_,province and territory,digital boundary file,ArcGIS (.shp),lat/long,french
gfsa000a16a_e, 19.56M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/FSA-RTA/gfsa000a16a_e.zip,2016,fsa,census forward sortation area,digital boundary file,ArcGIS (.shp),lat/long,english
grta000a16a_f, 19.57M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/DBF/FSA-RTA/grta000a16a_f.zip,2016,rta,census forward sortation area,digital boundary file,ArcGIS (.shp),lat/long,french
grnf000r16a_e,364.27M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/RNF-FRR/2016/grnf000r16a_e.zip,2016,rnf,road network file,NA,ArcGIS (.shp),lat/long,english
grnf000r16a_f,364.28M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/ArcGIS/RNF-FRR/2016/grnf000r16a_f.zip,2016,rnf,road network file,NA,ArcGIS (.shp),lat/long,french
gada000b16g_e, 50.6M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/ADA-ADA/gada000b16g_e.zip,2016,ada,aggregate dissemination area,cartographic boundary file,Geography Markup Language (.gml),lat/long,english
gada000b16g_f, 50.62M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/ADA-ADA/gada000b16g_f.zip,2016,ada,aggregate dissemination area,cartographic boundary file,Geography Markup Language (.gml),lat/long,french
gcar000b16g_e, 35.88M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/CAR-RAR/gcar000b16g_e.zip,2016,car,census agricultural region,cartographic boundary file,Geography Markup Language (.gml),lat/long,english
grar000b16g_f, 35.9M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/CAR-RAR/grar000b16g_f.zip,2016,rar,census agricultural region,cartographic boundary file,Geography Markup Language (.gml),lat/long,french
gccs000b16g_e, 49.98M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/CCS-SRU/gccs000b16g_e.zip,2016,ccs,census consolidated subdivision,cartographic boundary file,Geography Markup Language (.gml),lat/long,english
gsru000b16g_f, 49.98M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/CCS-SRU/gsru000b16g_f.zip,2016,sru,census consolidated subdivision,cartographic boundary file,Geography Markup Language (.gml),lat/long,french
gcd_000b16g_e, 38.33M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/CD-DR/gcd_000b16g_e.zip,2016,cd_,census division,cartographic boundary file,Geography Markup Language (.gml),lat/long,english
gdr_000b16g_f, 38.36M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/CD-DR/gdr_000b16g_f.zip,2016,dr_,census division,cartographic boundary file,Geography Markup Language (.gml),lat/long,french
gcma000b16g_e,  4.14M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/CMA-RMR/gcma000b16g_e.zip,2016,cma,census metropolitan area and census agglomeration,cartographic boundary file,Geography Markup Language (.gml),lat/long,english
grmr000b16g_f,  4.17M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/CMA-RMR/grmr000b16g_f.zip,2016,rmr,census metropolitan area and census agglomeration,cartographic boundary file,Geography Markup Language (.gml),lat/long,french
gcsd000b16g_e, 56.65M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/CSD-SDR/gcsd000b16g_e.zip,2016,csd,census subdivision,cartographic boundary file,Geography Markup Language (.gml),lat/long,english
gsdr000b16g_f, 56.67M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/CSD-SDR/gsdr000b16g_f.zip,2016,sdr,census subdivision,cartographic boundary file,Geography Markup Language (.gml),lat/long,french
gct_000b16g_e,  9.48M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/CT-SR/gct_000b16g_e.zip,2016,ct_,census tract,cartographic boundary file,Geography Markup Language (.gml),lat/long,english
gsr_000b16g_f,  9.5M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/CT-SR/gsr_000b16g_f.zip,2016,sr_,census tract,cartographic boundary file,Geography Markup Language (.gml),lat/long,french
gad_000b16g_f,107.79M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/DA-AD/gad_000b16g_f.zip,2016,ad_,dissemination area,cartographic boundary file,Geography Markup Language (.gml),lat/long,french
gda_000b16g_e,107.78M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/DA-AD/gda_000b16g_e.zip,2016,da_,dissemination area,cartographic boundary file,Geography Markup Language (.gml),lat/long,english
gdb_000b16g_e,277.05M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/DB-ID/gdb_000b16g_e.zip,2016,db_,dissemination block,cartographic boundary file,Geography Markup Language (.gml),lat/long,english
gid_000b16g_f,277.01M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/DB-ID/gid_000b16g_f.zip,2016,id_,NA,cartographic boundary file,Geography Markup Language (.gml),lat/long,french
gdpl000b16g_e,  2.66M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/DPL-LD/gdpl000b16g_e.zip,2016,dpl,designated place,cartographic boundary file,Geography Markup Language (.gml),lat/long,english
gld_000b16g_f,  2.68M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/DPL-LD/gld_000b16g_f.zip,2016,ld_,designated place,cartographic boundary file,Geography Markup Language (.gml),lat/long,french
ger_000b16g_e, 35.68M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/ER-RE/ger_000b16g_e.zip,2016,er_,economic region,cartographic boundary file,Geography Markup Language (.gml),lat/long,english
gre_000b16g_f, 35.7M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/ER-RE/gre_000b16g_f.zip,2016,re_,economic region,cartographic boundary file,Geography Markup Language (.gml),lat/long,french
gcef000b16g_f, 38M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/FED-CEF/gcef000b16g_f.zip,2016,cef,federal electoral district,cartographic boundary file,Geography Markup Language (.gml),lat/long,french
gfed000b16g_e, 37.97M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/FED-CEF/gfed000b16g_e.zip,2016,fed,federal electoral district,cartographic boundary file,Geography Markup Language (.gml),lat/long,english
ghy_000c16g_e,170.96M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/HYDRO/ghy_000c16g_e.zip,2016,hy_,NA,interior lakes and rivers hydrographic reference file (polygon),Geography Markup Language (.gml),lat/long,english
ghy_000c16g_f,170.34M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/HYDRO/ghy_000c16g_f.zip,2016,hy_,NA,interior lakes and rivers hydrographic reference file (polygon),Geography Markup Language (.gml),lat/long,french
ghy_000d16g_e, 57.46M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/HYDRO/ghy_000d16g_e.zip,2016,hy_,NA,interior rivers hydrographic reference file (line),Geography Markup Language (.gml),lat/long,english
ghy_000d16g_f, 57.48M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/HYDRO/ghy_000d16g_f.zip,2016,hy_,NA,interior rivers hydrographic reference file (line),Geography Markup Language (.gml),lat/long,french
ghy_000h16g_e, 50.1M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/HYDRO/ghy_000h16g_e.zip,2016,hy_,NA,"hydrographic coverage of Great Lakes, St. Lawrence River and surrounding oceans",Geography Markup Language (.gml),lat/long,english
ghy_000h16g_f, 50.12M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/HYDRO/ghy_000h16g_f.zip,2016,hy_,NA,"hydrographic coverage of Great Lakes, St. Lawrence River and surrounding oceans",Geography Markup Language (.gml),lat/long,french
gcp_000b16g_f,  4.46M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/PC-CP/gcp_000b16g_f.zip,2016,cp_,population centre,cartographic boundary file,Geography Markup Language (.gml),lat/long,french
gpc_000b16g_e,  4.44M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/PC-CP/gpc_000b16g_e.zip,2016,pc_,population centre,cartographic boundary file,Geography Markup Language (.gml),lat/long,english
gpr_000b16g_e, 33.15M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/PR-PR/gpr_000b16g_e.zip,2016,pr_,province and territory,cartographic boundary file,Geography Markup Language (.gml),lat/long,english
gpr_000b16g_f, 33.18M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/PR-PR/gpr_000b16g_f.zip,2016,pr_,province and territory,cartographic boundary file,Geography Markup Language (.gml),lat/long,french
gfsa000b16g_e, 65.15M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/FSA-RTA/gfsa000b16g_e.zip,2016,fsa,census forward sortation area,cartographic boundary file,Geography Markup Language (.gml),lat/long,english
grta000b16g_f, 65.17M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/CBF/FSA-RTA/grta000b16g_f.zip,2016,rta,census forward sortation area,cartographic boundary file,Geography Markup Language (.gml),lat/long,french
gada000a16g_e, 20.41M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/DBF/ADA-ADA/gada000a16g_e.zip,2016,ada,aggregate dissemination area,digital boundary file,Geography Markup Language (.gml),lat/long,english
gada000a16g_f, 20.44M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/DBF/ADA-ADA/gada000a16g_f.zip,2016,ada,aggregate dissemination area,digital boundary file,Geography Markup Language (.gml),lat/long,french
gcar000a16g_e,  4.24M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/DBF/CAR-RAR/gcar000a16g_e.zip,2016,car,census agricultural region,digital boundary file,Geography Markup Language (.gml),lat/long,english
grar000a16g_f,  4.26M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/DBF/CAR-RAR/grar000a16g_f.zip,2016,rar,census agricultural region,digital boundary file,Geography Markup Language (.gml),lat/long,french
gccs000a16g_e, 18.6M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/DBF/CCS-SRU/gccs000a16g_e.zip,2016,ccs,census consolidated subdivision,digital boundary file,Geography Markup Language (.gml),lat/long,english
gsru000a16g_f, 18.63M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/DBF/CCS-SRU/gsru000a16g_f.zip,2016,sru,census consolidated subdivision,digital boundary file,Geography Markup Language (.gml),lat/long,french
gcd_000a16g_e,  6.73M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/DBF/CD-DR/gcd_000a16g_e.zip,2016,cd_,census division,digital boundary file,Geography Markup Language (.gml),lat/long,english
gdr_000a16g_f,  6.75M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/DBF/CD-DR/gdr_000a16g_f.zip,2016,dr_,census division,digital boundary file,Geography Markup Language (.gml),lat/long,french
gcma000a16g_e,  1.86M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/DBF/CMA-RMR/gcma000a16g_e.zip,2016,cma,census metropolitan area and census agglomeration,digital boundary file,Geography Markup Language (.gml),lat/long,english
grmr000a16g_f,  1.88M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/DBF/CMA-RMR/grmr000a16g_f.zip,2016,rmr,census metropolitan area and census agglomeration,digital boundary file,Geography Markup Language (.gml),lat/long,french
gcsd000a16g_e, 27.67M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/DBF/CSD-SDR/gcsd000a16g_e.zip,2016,csd,census subdivision,digital boundary file,Geography Markup Language (.gml),lat/long,english
gsdr000a16g_f, 27.7M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/DBF/CSD-SDR/gsdr000a16g_f.zip,2016,sdr,census subdivision,digital boundary file,Geography Markup Language (.gml),lat/long,french
gct_000a16g_e,  8.43M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/DBF/CT-SR/gct_000a16g_e.zip,2016,ct_,census tract,digital boundary file,Geography Markup Language (.gml),lat/long,english
gsr_000a16g_f,  8.47M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/GML/DBF/CT-SR/gsr_000a16g_f.zip,2016,sr_,census tract,digital boundary file,Geography Markup Language (.gml),lat/long,french
